Date,Region,New Cases,Total Cases,Active Cases,Inpatient Hospitalizations,ICU Hospitalizations,Recovered Cases,Deaths
2020-08-04,Central East,0,28,3,0,0,24,1
2020-08-04,Central West,0,158,75,0,0,83,0
2020-08-04,Far North Central,0,0,0,0,0,0,0
2020-08-04,Far North East,0,6,0,0,0,6,0
2020-08-04,Far North West,0,346,4,0,0,335,7
2020-08-04,North Central,1,63,7,0,0,55,1
2020-08-04,North East,0,62,31,0,0,31,0
2020-08-04,North West,1,96,22,0,0,70,4
2020-08-04,Regina,4,99,13,1,2,83,1
2020-08-04,Saskatoon,2,216,24,3,5,190,2
2020-08-04,South Central,0,134,33,0,0,99,2
2020-08-04,South East,0,11,5,0,0,6,0
2020-08-04,South West,1,149,36,3,0,113,0
2020-08-05,Central East,0,28,3,1,0,24,1
2020-08-05,Central West,1,159,73,0,0,86,0
2020-08-05,Far North Central,0,0,0,0,0,0,0
2020-08-05,Far North East,0,6,0,0,0,6,0
2020-08-05,Far North West,0,346,4,0,0,335,7
2020-08-05,North Central,0,63,5,0,1,57,1
2020-08-05,North East,3,65,31,0,0,34,0
2020-08-05,North West,0,98,15,0,0,79,4
2020-08-05,Regina,2,100,15,1,2,84,1
2020-08-05,Saskatoon,2,217,19,3,5,196,2
2020-08-05,South Central,0,134,27,0,0,105,2
2020-08-05,South East,0,11,3,0,0,8,0
2020-08-05,South West,0,149,30,2,0,119,0
2020-08-06,Central East,0,28,3,1,0,24,1
2020-08-06,Central West,0,159,64,0,0,95,0
2020-08-06,Far North Central,0,0,0,0,0,0,0
2020-08-06,Far North East,0,6,0,0,0,6,0
2020-08-06,Far North West,0,346,2,0,0,337,7
2020-08-06,North Central,0,63,4,0,1,58,1
2020-08-06,North East,0,65,31,0,0,34,0
2020-08-06,North West,0,98,13,0,0,81,4
2020-08-06,Regina,0,100,13,1,1,85,2
2020-08-06,Saskatoon,1,218,17,3,4,199,2
2020-08-06,South Central,9,143,27,0,0,114,2
2020-08-06,South East,0,11,3,0,0,8,0
2020-08-06,South West,1,150,27,2,0,123,0
2020-08-07,Central East,2,30,5,1,0,24,1
2020-08-07,Central West,0,159,50,0,0,109,0
2020-08-07,Far North Central,0,0,0,0,0,0,0
2020-08-07,Far North East,0,6,0,0,0,6,0
